Accesion,Organism,Source
MG841999.1,Pinus nigra,Pinus nigra
CP060025.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
LC597744.1,synthetic construct,synthetic construct
LN595600.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP026115.2,Pseudomonas putida,Pseudomonas putida
CP003198.1,Acetomicrobium mobile DSM 13181,Acetomicrobium mobile DSM 13181
XM_010657897.2,Vitis vinifera,Vitis vinifera (wine grape)
OP723654.1,Lagerstroemia indica,Lagerstroemia indica
CP044074.1,Pseudomonas oryzihabitans,Pseudomonas oryzihabitans
NC_063518.1,Stylosanthes seabrana,mitochondrion Stylosanthes seabrana
CP113257.1,Stutzerimonas frequens,Stutzerimonas frequens
KY555145.1,Caulobacter phage Ccr29,Caulobacter phage Ccr29
CP023641.1,Pseudomonas mendocina,Pseudomonas mendocina
CP048536.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
LC183530.1,Dioon holmgrenii,Dioon holmgrenii
XR_008229541.1,Lactuca sativa,Lactuca sativa
GU476425.1,Angophora costata,Angophora costata
MW583093.1,Rhoicissus digitata,Rhoicissus digitata
OV197189.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
CP038853.1,Pantoea vagans,Pantoea vagans
XM_042664619.1,Macadamia integrifolia,Macadamia integrifolia
LC597803.1,synthetic construct,synthetic construct
OP723648.1,Lagerstroemia indica,Lagerstroemia indica
CP020369.1,Pseudomonas tolaasii,Pseudomonas tolaasii
LC183548.1,Dioon tomasellii,Dioon tomasellii
LN594742.1,Cyprinus carpio,Cyprinus carpio (common carp)
HQ349041.1,Pinus pinceana,Pinus pinceana
LT594792.1,Theobroma cacao,Theobroma cacao (cacao)
CP002379.1,Pseudarthrobacter phenanthrenivorans Sphe3,Pseudarthrobacter phenanthrenivorans Sphe3
CP086379.1,Pseudomonas furukawaii,Pseudomonas furukawaii
NC_065230.1,Prunus kanzakura,mitochondrion Prunus kanzakura
LN590720.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_047935254.1,Daldinia caldariorum,Daldinia caldariorum
CP001111.1,Stenotrophomonas maltophilia R551-3,Stenotrophomonas maltophilia R551-3
MN935395.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP047180.1,Rathayibacter festucae,Rathayibacter festucae
CP042220.2,Dickeya poaceiphila,Dickeya poaceiphila
CP092936.1,Vitis rotundifolia,Vitis rotundifolia
LN594651.1,Cyprinus carpio,Cyprinus carpio (common carp)
LT629762.1,Pseudomonas prosekii,Pseudomonas prosekii
LN591056.1,Cyprinus carpio,Cyprinus carpio (common carp)
KY528813.1,Dimocarpus longan,Dimocarpus longan
MH551223.1,Endoconidiophora resinifera,mitochondrion Endoconidiophora resinifera
XM_045934739.1,Trifolium pratense,Trifolium pratense
MW583055.1,Vitis sinocinerea,Vitis sinocinerea
LN593806.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP033035.1,Agrobacterium fabrum,Agrobacterium fabrum
NC_050850.1,Sapindus mukorossi,mitochondrion Sapindus mukorossi
MW583053.1,Vitis heyneana,Vitis heyneana
LN596274.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG842092.1,Pinus nigra,Pinus nigra
OX327699.1,Ailanthus altissimus,Ailanthus altissimus
CP002870.1,Pseudomonas putida S16,Pseudomonas putida S16
MK333231.1,Xanthoceras sorbifolium,mitochondrion Xanthoceras sorbifolium
LN594739.1,Cyprinus carpio,Cyprinus carpio (common carp)
OP723651.1,Lagerstroemia indica,Lagerstroemia indica
OV196107.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
LN594233.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN593720.1,Cyprinus carpio,Cyprinus carpio (common carp)
MN935426.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP064757.1,Fusarium pseudograminearum,mitochondrion Fusarium pseudograminearum
KT764102.1,Pinus bungeana,Pinus bungeana
CP048490.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
MW583083.1,Vitis rotundifolia,Vitis rotundifolia
NC_065235.1,Prunus yedoensis,mitochondrion Prunus yedoensis
XR_001560992.1,Acropora digitifera,Acropora digitifera
MG841968.1,Pinus nigra,Pinus nigra
LN594859.1,Cyprinus carpio,Cyprinus carpio (common carp)
AM485693.1,Vitis vinifera,Vitis vinifera (wine grape)
OV196009.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
JQ440756.1,Pinus cembra,Pinus cembra
LN595960.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN598283.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394016.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP034337.1,Pseudomonas entomophila,Pseudomonas entomophila
LT629760.1,Pseudomonas trivialis,Pseudomonas trivialis
LN592703.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP097528.1,Pseudomonas putida,Pseudomonas putida
MZ366770.1,Opuntia arechavaletae,Opuntia arechavaletae
CP047898.1,Pseudarthrobacter psychrotolerans,Pseudarthrobacter psychrotolerans
XR_008226131.1,Lactuca sativa,Lactuca sativa
JN872551.2,Lotus japonicus,mitochondrion Lotus japonicus
OV377758.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
MZ366786.1,Opuntia rioplatensis,Opuntia rioplatensis
HM753658.1,Escherichia phage phiX174,Escherichia phage phiX174
CP009048.1,Pseudomonas alkylphenolica,Pseudomonas alkylphenolica
AM235534.1,Metrosideros excelsa,Metrosideros excelsa (New Zealand Christmas tree)
XR_008229517.1,Lactuca sativa,Lactuca sativa
CP014574.1,Paenarthrobacter ureafaciens,Paenarthrobacter ureafaciens
BK022553.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
CP104324.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
LN594646.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_006493326.4,Citrus sinensis,Citrus sinensis (sweet orange)
CP027729.1,Pseudomonas sp. R3-18-08,Pseudomonas sp. R3-18-08
HM753693.1,Escherichia phage phiX174,Escherichia phage phiX174
EF380017.1,Escherichia phage phiX174,Escherichia phage phiX174
EF380010.1,Escherichia phage phiX174,Escherichia phage phiX174
XR_002394004.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
HQ349069.1,Pinus squamata,Pinus squamata
CP095192.1,Cercospora sp. J1 LZ-2022,Cercospora sp. J1 LZ-2022
MN935388.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
KY538016.1,Lonicera japonica,Lonicera japonica
CP099424.1,Septoria linicola,Septoria linicola (Mycosphaerella linicola)
CP012676.1,Pseudomonas versuta,Pseudomonas versuta
CP093326.1,Arthrobacter sulfonylureivorans,Arthrobacter sulfonylureivorans
CP083448.1,Pantoea eucrina,Pantoea eucrina
CP043010.1,Paenarthrobacter ureafaciens,Paenarthrobacter ureafaciens
CP022198.1,Pseudomonas oryzihabitans,Pseudomonas oryzihabitans
OX352321.1,Arthrobacter sp. MM222,Arthrobacter sp. MM222
CP027715.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
NC_065232.1,Prunus mume,mitochondrion Prunus mume (Japanese apricot)
MN066698.1,Pediomelum digitatum,mitochondrion Pediomelum digitatum
MZ366781.1,Opuntia megapotamica,Opuntia megapotamica
XR_008226118.1,Lactuca sativa,Lactuca sativa
MK026450.1,Endoconidiophora resinifera,mitochondrion Endoconidiophora resinifera
OV016109.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
XR_002394017.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
OL824858.1,Phytolacca americana,Phytolacca americana (American pokeweed)
CP059162.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
NC_043897.1,Sophora flavescens,mitochondrion Sophora flavescens
XR_004152595.1,Punica granatum,Punica granatum (pomegranate)
CP035034.1,Pantoea ananatis,Pantoea ananatis
LN590682.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_024779731.2,Medicago truncatula,Medicago truncatula (barrel medic)
CP027477.1,Pseudomonas koreensis,Pseudomonas koreensis
CP099642.1,Pseudomonas proteolytica,Pseudomonas proteolytica
MZ231125.1,Prunus conradinae,mitochondrion Prunus conradinae
AM235533.1,Melaleuca alternifolia,Melaleuca alternifolia (tea tree)
CP032554.1,Gossypium raimondii,Gossypium raimondii
LN590970.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_034844111.1,Vitis riparia,Vitis riparia (riverbank grape)
CP065666.1,Acinetobacter johnsonii,Acinetobacter johnsonii
OV196626.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
CP047388.1,Agrobacterium sp. CGMCC 11546,Agrobacterium sp. CGMCC 11546
MW182652.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP048594.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
CP002986.1,Stenotrophomonas maltophilia JV3,Stenotrophomonas maltophilia JV3
CP104863.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP070242.1,Streptomyces californicus,Streptomyces californicus
XR_008226135.1,Lactuca sativa,Lactuca sativa
AP014862.1,Pseudomonas furukawaii,Pseudomonas furukawaii
MZ366778.1,Opuntia elata,Opuntia elata
MG841970.1,Pinus nigra,Pinus nigra
CP104071.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP054880.1,Pseudomonas sp. 43A,Pseudomonas sp. 43A
LN595492.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590914.1,Cyprinus carpio,Cyprinus carpio (common carp)
KJ820684.1,Batis maritima,mitochondrion Batis maritima
LN590707.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_008229567.1,Lactuca sativa,Lactuca sativa
JX163460.1,Chamaecrista fasciculata,Chamaecrista fasciculata
CP006852.1,Pseudomonas sp. TKP,Pseudomonas sp. TKP
HQ349103.1,Pinus cembroides,Pinus cembroides
XM_006466612.4,Citrus sinensis,Citrus sinensis (sweet orange)
MN935389.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP010896.1,Pseudomonas simiae,Pseudomonas simiae
CP111170.1,Bipolaris zeicola,Bipolaris zeicola
CP082244.1,Pseudomonas otitidis,Pseudomonas otitidis
LT703002.1,Sphingorhabdus sp. Alg231-15,Sphingorhabdus sp. Alg231-15
CP025494.1,Pseudomonas palleroniana,Pseudomonas palleroniana
CP038394.1,Escherichia coli O55:H7,Escherichia coli O55:H7
LC597781.1,synthetic construct,synthetic construct
CP027664.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
LN590829.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP061875.1,Alternaria alternata,Alternaria alternata
OV196096.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
XR_008229526.1,Lactuca sativa,Lactuca sativa
MW182677.1,Fusarium vorosii,mitochondrion Fusarium vorosii
LN590987.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP061721.1,Pseudarthrobacter sp. BIM B-2242,Pseudarthrobacter sp. BIM B-2242
MF389958.1,Pinus sylvestris,Pinus sylvestris (Scots pine)
ON930432.1,Cannabis sativa,mitochondrion Cannabis sativa
XR_002394010.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP027762.1,Pseudomonas sp. LBUM920,Pseudomonas sp. LBUM920
KJ813723.1,Solanum lycopersicum,Solanum lycopersicum (Lycopersicon esculentum)
NC_045035.1,Spondias mombin,mitochondrion Spondias mombin
XM_044653582.1,Mangifera indica,Mangifera indica (mango)
CP061004.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
LN590908.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP109969.1,Agrobacterium salinitolerans,Agrobacterium salinitolerans
AM235527.1,Melaleuca citrina,Melaleuca citrina
OP723661.1,Lagerstroemia indica,Lagerstroemia indica
CP022033.1,Alternaria solani,Alternaria solani
CP045868.1,Klebsiella aerogenes,Klebsiella aerogenes
HG322950.1,Pseudomonas knackmussii B13,Pseudomonas knackmussii B13
KT764099.1,Pinus bungeana,Pinus bungeana
CP067013.1,Stutzerimonas balearica,Stutzerimonas balearica
AP022213.1,Pseudomonas otitidis,Pseudomonas otitidis
CP031058.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
XM_008022563.1,Exserohilum turcica Et28A,Exserohilum turcica Et28A
MT557709.1,Cannabis sativa,mitochondrion Cannabis sativa
MG841937.1,Pinus nigra,Pinus nigra
CP113866.1,Caldicellulosiruptor acetigenus,Caldicellulosiruptor acetigenus
LC566215.1,Enterococcus faecium,Enterococcus faecium
CP021070.1,Mesorhizobium sp. WSM1497,Mesorhizobium sp. WSM1497
MW583072.1,Vitis erythrophylla,Vitis erythrophylla
CP100603.2,Pseudomonas fuscovaginae UPB0736,Pseudomonas fuscovaginae UPB0736
LN598497.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_050388288.1,Quercus robur,Quercus robur (English oak)
OX359268.1,Hedera helix,Hedera helix
AP023081.1,Pseudomonas sp. Sm006,Pseudomonas sp. Sm006
LT629756.1,Pseudomonas sp. Z003-0.4C(8344-21),Pseudomonas sp. Z003-0.4C(8344-21)
LT707064.1,Pseudomonas sp. 7SR1,Pseudomonas sp. 7SR1
LR131272.1,Arthrobacter agilis,Arthrobacter agilis
LN590671.1,Cyprinus carpio,Cyprinus carpio (common carp)
NC_001422.1,Escherichia phage phiX174,Escherichia phage phiX174
CP087168.1,Pseudomonas sp. B21-048,Pseudomonas sp. B21-048
MG842049.1,Pinus nigra,Pinus nigra
CP022560.1,Pseudomonas putida,Pseudomonas putida
CP048544.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
MW448465.1,Robinia pseudoacacia,mitochondrion Robinia pseudoacacia
CP077074.1,Pseudomonas sessilinigenes,Pseudomonas sessilinigenes
CP013290.1,Janibacter indicus,Janibacter indicus
CP077722.1,Pseudomonas viridiflava,Pseudomonas viridiflava
LN598517.1,Cyprinus carpio,Cyprinus carpio (common carp)
NC_065060.1,Toona ciliata,mitochondrion Toona ciliata
MZ366783.1,Opuntia penicilligera,Opuntia penicilligera
MN935400.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
HQ349067.1,Pinus sibirica,Pinus sibirica
CP059080.1,Acinetobacter johnsonii,Acinetobacter johnsonii
XR_008229402.1,Lactuca sativa,Lactuca sativa
OW569319.1,Mercurialis annua,Mercurialis annua (annual mercury)
KY538024.1,Vaccinium corymbosum,Vaccinium corymbosum
MW924654.1,Tuber microsphaerosporum,mitochondrion Tuber microsphaerosporum
JQ440761.1,Pinus mugo,Pinus mugo
CP065162.1,Klebsiella variicola,Klebsiella variicola
HQ349064.1,Pinus strobiformis,Pinus strobiformis
BK045150.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
LN591070.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP048833.1,Pseudomonas multiresinivorans,Pseudomonas multiresinivorans
CP098540.1,Neisseria gonorrhoeae,Neisseria gonorrhoeae
CP052856.1,Pseudomonas sp. ADAK22,Pseudomonas sp. ADAK22
MW583046.1,Vitis adenoclada,Vitis adenoclada
LC529901.1,Asarum satsumense,chloroplast Asarum satsumense
LN590857.1,Cyprinus carpio,Cyprinus carpio (common carp)
OW968288.1,Escherichia coli,Escherichia coli
MZ747310.1,Stylosanthes pilosa,mitochondrion Stylosanthes pilosa
MH628295.1,Eucalyptus alba,Eucalyptus alba
OL824860.1,Phytolacca americana,Phytolacca americana (American pokeweed)
NC_063725.1,Fusarium nepalense,mitochondrion Fusarium nepalense
JQ261977.1,Pinus lambertiana,Pinus lambertiana (sugar pine)
HM753671.1,Escherichia phage phiX174,Escherichia phage phiX174
LN596719.1,Cyprinus carpio,Cyprinus carpio (common carp)
AP021908.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP072746.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
MN935417.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
XM_006370679.3,Populus trichocarpa,Populus trichocarpa (Populus balsamifera subsp. trichocarpa)
GU476479.1,Syzygium maire,Syzygium maire
CP104169.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
HM753704.1,Escherichia phage phiX174,Escherichia phage phiX174
CP110208.1,Clonostachys rosea,Clonostachys rosea
HM753672.1,Escherichia phage phiX174,Escherichia phage phiX174
XM_010254410.2,Nelumbo nucifera,Nelumbo nucifera (sacred lotus)
LN598496.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_007573239.1,Nymphaea colorata,Nymphaea colorata (pocket water lily)
BK036740.1,Myoviridae sp.,Myoviridae sp. (Human Metagenome)
AP024480.1,Caldicellulosiruptor diazotrophicus,Caldicellulosiruptor diazotrophicus
MN935414.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP063912.1,Klebsiella variicola,Klebsiella variicola
MW924655.1,Tuber umbilicatum,mitochondrion Tuber umbilicatum
OV195847.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
XM_013614994.3,Medicago truncatula,Medicago truncatula (barrel medic)
XR_008226145.1,Lactuca sativa,Lactuca sativa
CP040439.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
AP014637.1,Pseudomonas sp. StFLB209,Pseudomonas sp. StFLB209
CP061083.1,Pantoea sp. MT58,Pantoea sp. MT58
CP092827.1,Pseudomonas sp. LS.1a,Pseudomonas sp. LS.1a
CP027714.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
CP029759.1,Stenotrophomonas sp. pho,Stenotrophomonas sp. pho
MW583066.1,Vitis flexuosa,Vitis flexuosa
BK057475.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
CP027743.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
XM_034254005.2,Drosophila albomicans,Drosophila albomicans
LC597739.1,synthetic construct,synthetic construct
CP063358.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
CP075493.1,Adineta vaga,Adineta vaga
CP114484.1,Coriaria nepalensis,Coriaria nepalensis
OP723655.1,Lagerstroemia indica,Lagerstroemia indica
OW968124.1,Escherichia coli,Escherichia coli
XM_006632242.2,Lepisosteus oculatus,Lepisosteus oculatus (spotted gar)
CP089277.1,Curvularia clavata,Curvularia clavata
LN590715.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP031649.1,Pantoea agglomerans,Pantoea agglomerans
CP086133.1,Pantoea agglomerans,Pantoea agglomerans
LN591245.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP043060.1,Pseudomonas sp. J380,Pseudomonas sp. J380
CP048539.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
LC597804.1,synthetic construct,synthetic construct
CP027750.1,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis subsp. aureofaciens
AB354957.1,Psidium cattleyanum,Psidium cattleyanum
HM753660.1,Escherichia phage phiX174,Escherichia phage phiX174
CP061879.1,Alternaria alternata,Alternaria alternata
MZ366784.1,Opuntia quimilo,Opuntia quimilo
LC597683.1,synthetic construct,synthetic construct
M14428.1,Enterobacteria phage S13,Enterobacteria phage S13
OX327713.1,Ailanthus altissimus,Ailanthus altissimus
CP060024.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
NC_056836.1,Tolypanthus maclurei,mitochondrion Tolypanthus maclurei
CP025646.1,Ipomoea trifida,Ipomoea trifida
LC183547.1,Dioon stevensonii,Dioon stevensonii
OV196298.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
LC183550.1,Dioon tomasellii,Dioon tomasellii
CP102604.1,Pantoea sp. SOD02,Pantoea sp. SOD02
XR_008226144.1,Lactuca sativa,Lactuca sativa
CP073262.1,Erwinia gerundensis,Erwinia gerundensis
CP073249.1,Actinosynnema pretiosum subsp. pretiosum,Actinosynnema pretiosum subsp. pretiosum
AP021902.1,Pseudomonas sp. Cab53,Pseudomonas sp. Cab53
CP090207.1,Pantoea agglomerans,Pantoea agglomerans
LN590767.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP009880.2,Pantoea sp. PSNIH1,Pantoea sp. PSNIH1
MW583084.1,Vitis shuttleworthii,Vitis shuttleworthii
CP114466.1,Coriaria nepalensis,Coriaria nepalensis
CP071819.1,Klebsiella pneumoniae subsp. pneumoniae,Klebsiella pneumoniae subsp. pneumoniae
XM_031430213.1,Pistacia vera,Pistacia vera
CP096975.1,Stenotrophomonas sp. NY11291,Stenotrophomonas sp. NY11291
LN595283.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN592089.1,Cyprinus carpio,Cyprinus carpio (common carp)
LR215729.2,Pseudomonas marincola,Pseudomonas marincola
LN590839.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP048498.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
LN595103.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP076631.1,Cercospora sojina,Cercospora sojina
XR_004004015.1,Syzygium oleosum,Syzygium oleosum
CP102921.1,Klebsiella quasipneumoniae,Klebsiella quasipneumoniae
XR_008226125.1,Lactuca sativa,Lactuca sativa
LT906480.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
